,game_id,home_gk_overall,home_dc_overall,home_mid_overall,home_st_overall,away_gk_overall,away_dc_overall,away_mid_overall,away_st_overall,homeScore,awayScore,matchResult
0,3a6836b4,67.0,64.4,66.75,67.0,90.0,77.25,86.8,85.5,0,3,Away
1,26a7f90c,74.0,78.0,82.25,80.33333333333333,69.0,67.0,65.75,65.5,2,1,Home
2,d6bbf293,72.0,66.25,63.4,68.0,70.0,70.75,70.25,71.33333333333333,1,1,Draw
3,56a137f7,73.0,73.25,64.0,64.5,65.0,61.333333333333336,63.333333333333336,63.5,4,1,Home
4,15addfc7,75.0,66.5,69.5,64.0,73.0,68.5,67.66666666666667,66.75,0,1,Away
5,8ff2f8fe,79.0,72.0,72.8,75.0,74.0,75.5,79.66666666666667,74.0,5,1,Home
6,55fd92c7,69.0,70.75,70.0,67.5,63.0,63.5,61.5,58.5,0,1,Away
7,67ed3ba2,69.0,70.2,70.66666666666667,70.5,78.0,76.0,76.75,71.66666666666667,2,2,Draw
8,c18d3207,71.0,73.5,72.33333333333333,69.66666666666667,69.5,76.0,68.5,81.75,1,1,Draw
9,f1ecda2c,74.0,77.75,78.5,71.33333333333333,66.5,69.0,65.8,72.5,1,0,Home
10,a0a93f71,69.0,66.85714285714286,66.0,66.0,63.0,63.75,63.25,58.5,2,1,Home
11,46be83af,69.0,70.25,70.66666666666667,70.0,73.0,68.5,68.66666666666667,68.33333333333333,0,3,Away
12,80bebdbb,72.0,66.25,63.0,67.33333333333333,69.5,76.0,68.5,81.75,3,1,Home
13,0b8f50a5,90.0,80.25,81.6,85.5,74.0,75.5,79.66666666666667,74.0,1,0,Home
14,4bb62251,74.0,77.75,78.5,71.33333333333333,78.0,76.25,78.25,79.0,2,0,Home
15,d7c606ec,73.0,75.33333333333333,72.66666666666667,73.0,66.5,69.0,65.8,66.5,1,4,Away
16,959b558d,66.0,73.25,72.8,75.0,75.0,66.5,69.5,75.0,4,0,Home
17,44b9a07c,71.0,74.0,72.33333333333333,69.66666666666667,70.0,70.75,73.33333333333333,71.33333333333333,3,1,Home
18,3b5ecd36,74.0,78.33333333333333,82.25,80.33333333333333,69.0,70.75,70.0,67.5,0,1,Away
19,6bfb9dc0,71.0,74.0,77.33333333333333,69.66666666666667,65.0,61.333333333333336,66.66666666666667,63.5,3,0,Home
20,d8f8f8ad,74.0,77.33333333333333,82.25,81.33333333333333,73.0,68.75,72.0,68.33333333333333,2,2,Draw
21,f49c4ad2,72.0,66.0,63.0,69.0,78.0,76.25,78.25,79.0,0,2,Away
22,537b2b0b,69.0,70.25,70.66666666666667,70.0,69.0,70.75,70.0,67.5,1,1,Draw
23,ba68d60c,66.0,75.33333333333333,72.66666666666667,72.75,70.0,71.4,73.33333333333333,73.0,1,3,Away
24,18dfee28,75.0,67.5,69.25,66.66666666666667,66.5,67.0,68.0,67.0,0,1,Away
25,70d9b1ab,74.0,75.75,77.25,70.0,69.0,67.0,66.33333333333333,66.0,3,2,Home
26,b66a7def,58.5,73.4,75.33333333333333,75.0,67.0,63.0,66.4,67.0,1,3,Away
27,b31156ab,69.5,75.6,69.2,83.0,74.0,75.5,79.66666666666667,74.0,1,2,Away
28,0844ff10,90.0,80.5,82.4,85.5,63.0,64.0,63.25,58.5,1,2,Away
29,e929e225,65.0,60.8,66.66666666666667,63.5,70.0,71.8,75.0,71.33333333333333,1,2,Away
30,e2946b10,72.0,66.25,63.5,69.0,69.0,70.75,70.66666666666667,70.0,2,2,Draw
31,4f754e0a,66.0,73.2,63.5,63.875,74.0,72.75,79.66666666666667,74.0,3,1,Home
32,f1786fb8,67.0,64.25,66.0,67.0,78.0,76.25,78.25,76.5,2,5,Away
33,44e89d37,71.0,74.0,77.33333333333333,69.66666666666667,69.0,67.0,65.75,62.0,0,1,Away
34,88066bdf,73.0,68.5,68.33333333333333,68.33333333333333,90.0,81.0,81.5,82.66666666666667,5,1,Home
35,87b46bb9,75.0,67.5,69.25,71.33333333333333,63.0,63.0,64.0,63.5,2,2,Draw
36,74125d47,74.0,79.0,83.66666666666667,80.33333333333333,74.0,73.25,77.25,70.0,3,1,Home
37,f9436d32,69.0,70.75,70.0,67.5,66.5,69.0,68.0,69.66666666666667,3,2,Home
38,bdbc722e,66.0,73.4,72.75,75.0,69.5,73.0,69.8,83.33333333333333,3,0,Home
39,bc77340e,66.0,73.25,72.75,74.0,69.0,68.5,69.0,67.5,3,1,Home
40,48b1bdc7,73.0,68.5,72.0,66.75,65.0,60.833333333333336,66.75,62.5,1,0,Home
41,ddcf2857,73.0,73.25,71.66666666666667,72.33333333333333,74.0,72.2,77.25,75.0,1,3,Away
42,71b7e5e2,69.0,70.2,70.66666666666667,70.5,74.0,75.5,71.75,75.0,1,0,Home
43,e56e96e1,63.0,63.0,64.66666666666667,59.0,78.0,76.25,78.25,76.5,2,1,Home
44,64c0a6e2,90.0,80.25,84.75,82.66666666666667,70.0,71.8,73.33333333333333,73.0,1,3,Away
45,38daebd2,69.5,69.0,73.5,82.0,66.5,69.0,67.75,68.5,1,3,Away
46,be0cbf88,72.0,66.0,63.5,68.0,71.0,73.0,70.33333333333333,69.75,0,0,Draw
47,b1278924,76.0,79.0,83.0,80.33333333333333,75.0,67.5,69.0,71.33333333333333,0,1,Away
48,ad7ecfad,67.0,64.75,66.0,67.0,69.0,66.2,67.0,69.0,1,1,Draw
49,96681b93,69.0,69.0,70.66666666666667,69.0,75.0,67.5,69.0,70.0,1,3,Away
50,8e26793d,69.0,70.75,69.0,empty,74.0,70.6,75.0,75.0,0,1,Away
51,cf0b2b19,65.0,61.714285714285715,68.33333333333333,67.5,73.0,68.5,72.0,66.5,0,0,Draw
52,76a1421e,90.0,80.25,75.0,62.5,66.5,69.0,67.75,68.5,1,1,Draw
53,5dc7e234,76.0,79.0,83.0,82.66666666666667,69.0,67.0,68.5,68.0,2,0,Home
54,08947a10,72.0,66.0,63.5,81.33333333333333,78.0,76.25,78.25,76.33333333333333,2,2,Draw
55,5593f16c,66.0,73.25,72.75,69.66666666666667,66.0,74.75,69.5,69.25,3,1,Home
56,7d2c5e05,69.5,74.6,69.8,74.0,71.0,73.0,77.33333333333333,69.75,0,1,Away
57,90adf8b3,74.0,75.5,71.75,83.33333333333333,70.0,71.8,73.33333333333333,73.0,3,1,Home
58,cf4fef85,66.0,73.25,72.75,73.0,63.0,63.6,64.0,57.0,0,8,Away
59,2df9a3a1,76.0,79.0,83.66666666666667,74.0,73.0,74.75,67.0,72.75,6,1,Home
60,8de4aca0,75.0,67.5,69.0,81.33333333333333,72.0,66.25,63.5,69.66666666666667,0,4,Away
61,921d5f17,69.0,70.75,69.0,75.0,65.0,61.714285714285715,64.0,62.5,1,2,Away
62,ef2b7ab9,69.5,74.6,69.8,66.0,74.0,74.66666666666667,78.75,71.0,0,1,Away
63,a79ff136,63.0,63.6,64.66666666666667,empty,74.0,72.25,72.33333333333333,74.0,2,0,Home
